ObjectID,PositionX,PositionY,Timestamp, X,Y,Theta
2,-0.1839,-0.6584,1739270933.509000,-0.0106,-0.0173,0.0026
2,-0.2006,-0.6634,1739270933.743000,-0.0115,-0.0207,0.0030
2,-0.2039,-0.6985,1739270934.021000,-0.0043,-0.0035,0.0007
2,-0.2340,-0.7805,1739270934.297000,-0.0036,-0.0032,0.0009
2,-0.2674,-0.8222,1739270934.527000,-0.0039,-0.0033,0.0002
4,1.1200,1.2923,1739270933.509000,-0.0106,-0.0173,0.0026
4,1.1200,1.2672,1739270933.743000,-0.0115,-0.0207,0.0030
16,-0.1964,-0.6634,1739270964.784000,-0.0049,-0.0076,-0.0001
16,-0.1839,-0.6584,1739270965.288000,-0.0051,-0.0079,0.0010
16,-0.1964,-0.6634,1739270965.505000,-0.0062,-0.0079,0.0016
16,-0.1964,-0.6634,1739270965.723000,-0.0052,-0.0079,0.0012
16,-0.1964,-0.6634,1739270965.937000,-0.0066,-0.0059,0.0010
16,-0.1964,-0.6634,1739270966.167000,-0.0056,-0.0056,0.0008
16,-0.2139,-0.6685,1739270966.438000,-0.0064,-0.0070,0.0008
16,-0.1964,-0.6634,1739270966.669000,-0.0062,-0.0080,0.0014
